time,weight,height,bmi,fatRate,bodyWaterRate,boneMass,metabolism,muscleRate,visceralFat
1619173934,64.45,175.0,21.0,15.28452,58.11482,2.7773178,1523.0,51.821808,5.0,596
1619173958,64.45,175.0,21.0,15.28452,58.11482,2.7773178,1523.0,51.821808,5.0,596
1619261826,64.75,175.0,21.1,15.507761,57.961678,2.7829711,1528.0,51.925755,5.0,594
1619347927,64.9,175.0,21.1,15.6081295,57.892822,2.7861485,1530.0,51.984177,5.0,592
1619433081,65.65,175.0,21.4,16.217024,57.47512,2.798177,1541.0,52.20535,6.0,593
1619520381,65.35,175.0,21.3,15.93768,57.66675,2.7946281,1537.0,52.140095,5.0,589
1619605363,66.05,175.0,21.5,null,null,null,null,null,null,null
1619605411,66.05,175.0,21.5,16.427671,57.330616,2.8082867,1547.0,52.39124,6.0,583
1619692056,65.15,175.0,21.2,15.9761715,57.640347,2.784663,1534.0,51.956863,5.0,608
1619778888,65.05,175.0,21.2,15.833477,57.738235,2.785117,1532.0,51.96521,5.0,602
1619867418,64.75,175.0,21.1,15.423745,58.01931,2.785777,1528.0,51.97735,5.0,586
1619953889,65.35,175.0,21.3,15.864841,57.716717,2.7970834,1537.0,52.18524,5.0,582
1619953913,65.35,175.0,21.3,15.854437,57.723858,2.797434,1537.0,52.19169,5.0,581
1620038125,65.0,175.0,21.2,15.385346,58.045654,2.7979705,1531.0,52.201553,5.0,563
1620115849,65.0,175.0,21.2,15.406269,58.0313,2.797269,1531.0,52.188656,5.0,565
1620210702,65.75,175.0,21.4,16.026882,57.60556,2.8089468,1542.0,52.403378,6.0,567
1620387508,64.7,175.0,21.1,15.666883,57.85252,2.7754817,1527.0,51.788044,5.0,613
1620476543,65.1,175.0,21.2,15.748194,57.796738,2.7901511,1533.0,52.057774,5.0,590
1620565249,65.1,175.0,21.2,15.716858,57.818237,2.7912033,1533.0,52.07712,5.0,587
1620649571,65.55,175.0,21.4,16.127653,57.53643,2.7968771,1539.0,52.18145,6.0,592
1620733573,65.55,175.0,21.4,16.013542,57.61471,2.8007352,1539.0,52.25239,6.0,581
1620815661,65.1,175.0,21.2,15.601957,57.897057,2.7950613,1533.0,52.148064,5.0,576
1620901756,65.95,175.0,21.5,16.163872,57.511585,2.8129494,1545.0,52.476974,6.0,565
1620991296,66.1,175.0,21.5,16.34323,57.388546,2.8133206,1548.0,52.483803,6.0,571
1621079832,66.25,175.0,21.6,16.56283,57.2379,2.8122892,1550.0,52.464836,6.0,581
1621176390,66.1,175.0,21.5,16.45639,57.310917,2.8094625,1548.0,52.41286,6.0,582
1621176423,65.6,175.0,21.4,16.415966,57.338646,2.7892845,1540.0,52.04184,6.0,616
