com.samsung.health.food_info,6233003,6
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,description,custom,provider_food_id,metric_serving_amount,sodium,dietary_fiber,total_fat,update_time,create_time,monosaturated_fat,protein,polysaturated_fat,iron,name,sugar,added_sugar,calcium,calorie,serving_description,info_provider,deviceuuid,metric_serving_unit,saturated_fat,trans_fat,pkg_name,carbohydrate,unit_count_per_calorie,datauuid,default_number_of_serving_unit
0.0,0.0,0.0,,6.9,"72.0 kcal, 1",,quickinput-32be3e45-8da0-44d8-90d2-f0fedc2c3253,0,161.6,0.0,2.8,2018-09-11 00:55:08.249,2018-09-11 00:55:08.249,,3.4,,0.0,Queijo ralado parmézzo,0.0,,11.7,72.0,porção,,zjIwstRrv1,120001,1.8,0.0,com.sec.android.app.shealth,3.0,1.0,644660a5-3385-4af9-8b67-5abcc3b30aa1,1,
12.0,2.0,0.0,,76.0,"158 kcal, por 100g",,fatsecret-33809,9,13.0,0.0,1.0,2021-01-01 01:20:01.085,2018-09-22 12:47:19.868,0.389,1.17,0.119,2.0,Ovo de Codorna,0.04,,0.0,14.0,ovo,,yfgkJHa6g4,g,0.32,,com.sec.android.app.shealth,0.04,0.64285713,6bc0aec0-f5c6-44f9-a009-983a6fe7a2da,1,
148.0,1.0,11.0,,0.0,"51 kcal, por 99g",,fatsecret-561206,138,1.0,3.3,0.24,2018-09-10 10:22:44.993,2018-09-10 10:22:44.993,0.01,0.36,0.07,1.0,Maçãs Fuji,14.34,,1.0,71.0,média (7 cm de diâmetro)(aprox 3 por 450 g),,zjIwstRrv1,g,0.039,,com.sec.android.app.shealth,19.06,1.9272727,493ee9ce-5d26-496a-9124-757644b39e95,1,
37.0,4.111111,0.0,0.0,57.0,"2458 kcal, por 807g",,fatsecret-4354358,43,110.0,0.6,4.07,2023-08-23 16:13:51.340,2018-09-08 16:35:48.963,1.44,5.19,0.499,2.3333333,Pastel de Queijo,0.19,,4.5384617,131.0,unidade,,xoyixJvqZs,g,1.788,0.072,com.sec.android.app.shealth,17.84,0.32824427,32b1f0e1-b27c-4bc7-8261-a2a08dd55493,1,
,,,,,"169 kcal, por 1 porção (355ml)",,fatsecret-14146840,355,,,0.0,2018-09-09 02:00:12.715,2018-09-09 02:00:12.715,,0.0,,,Extra Lager(Brahma),,,,169.0,porção,,zjIwstRrv1,ml,0.0,,com.sec.android.app.shealth,12.0,,02148164-1a2b-46c9-b08e-e07505760cc7,1,
,,,,0.0,"369 kcal, por 1 pacote (85g)",,fatsecret-7684566,85,1522.0,2.2,15.0,2018-09-14 03:20:04.861,2018-09-14 03:20:04.861,,8.6,,,Miojo Sabor Galinha(Nissin),,,,369.0,porção,,zjIwstRrv1,g,6.7,0.0,com.sec.android.app.shealth,50.0,0.2303523,90421f0d-17dc-488d-9bb5-f4064613ec0a,1,
138.0,23.333334,3.4444444,10.0,400.0,"212 kcal, por 100g",,fatsecret-39866,94,211.0,0.0,15.21,2023-09-07 12:33:06.097,2018-09-17 17:39:57.343,5.536,13.01,1.851,13.5,Ovo Mexido,1.43,,4.1538463,199.0,ovos,,xoyixJvqZs,g,5.784,,com.sec.android.app.shealth,1.96,0.4723618,f258bb56-cea3-4bef-a11e-2a607ed20f94,2,
491.0,83.111115,20.222223,0.0,0.0,"158 kcal, por 141g",,fatsecret-6612750,100,417.0,4.2,0.13,2023-08-26 16:01:09.147,2018-09-08 16:44:22.280,0.002,2.48,0.084,11.277778,Batata Doce Cozida,6.86,,2.8461537,112.0,g,,xoyixJvqZs,g,0.046,,com.sec.android.app.shealth,25.88,0.8951965,7e48dc9e-ee25-4d62-9f74-510c82ed777d,100,
5.0,1.2222222,0.0,0.0,5.0,"717 kcal, por 100g",,fatsecret-7079,14,78.0,0.0,10.79,2023-09-28 00:52:02.127,2018-09-15 13:32:18.267,2.705,0.15,5.889,0.3888889,Maionese,0.07,,0.15384616,99.0,colher de sopa,,xoyixJvqZs,g,1.64,,com.sec.android.app.shealth,0.54,0.13950539,7bc353ca-d6eb-4d36-8a98-af5d7d18d4f2,1,
343.0,143.33333,5.888889,0.0,0.0,"87 kcal, por 161g",,fatsecret-6037,151,462.0,4.4,3.74,2023-09-15 17:28:57.527,2018-09-08 16:35:48.961,1.652,1.12,1.174,2.7777777,Cenouras Cozidas,5.03,,3.3846154,82.0,"xícara, fatiadas",,xoyixJvqZs,g,0.707,,com.sec.android.app.shealth,12.07,1.8414634,054e9386-d447-4df9-848d-46014225be77,1,
320.0,93.44444,6.5555553,0.0,0.0,"41 kcal, por 100g",,fatsecret-36320,100,69.0,2.8,0.24,2023-10-05 16:30:35.794,2018-09-14 19:55:07.334,0.014,0.93,0.117,1.6666667,Cenouras,4.54,,2.5384614,41.0,g,,xoyixJvqZs,g,0.037,0.0,com.sec.android.app.shealth,9.58,2.4615386,7cd741dc-2c98-4513-a7cf-5a81b0b32754,100,
391.0,9.0,12.0,,49.0,"5369 kcal, por 3294g",,fatsecret-4989,206,744.0,2.7,12.38,2018-09-08 01:33:30.578,2018-09-08 01:33:30.578,4.038,20.52,0.688,16.0,Lasanha com Carne,5.6,,25.0,336.0,"pedaço (1/6 de quadrado de 20 cm, aprox 6,5 cm x 10 cm)",,zjIwstRrv1,g,6.384,,com.sec.android.app.shealth,35.43,0.6130952,a329bd8a-75a9-431b-9bd4-d264dc9f9cac,1,
34.0,0.22222222,0.0,0.0,0.0,"2419 kcal, por 1612g",,fatsecret-309381,51,38.0,1.5,0.35,2023-09-17 20:01:05.443,2018-09-16 01:45:18.645,0.086,1.77,0.148,4.7777777,Polenta Frita,0.13,,0.15384616,77.0,tira ou fatia,,xoyixJvqZs,g,0.047,,com.sec.android.app.shealth,16.24,0.66233766,bbd8319f-419f-40f0-9081-da6df37d1114,1,
,,,,,"22 kcal, por 15cm",,fatsecret-3480474,0,,,0.0,2018-09-09 01:55:14.010,2018-09-09 01:55:14.010,,0.0,,,Azeitona Preta(Subway),,,,22.0,porção,,zjIwstRrv1,,,,com.sec.android.app.shealth,0.0,,6db97a85-28e9-49a2-8444-7053ba0cfdb5,1,
63.0,9.333333,0.0,0.0,211.0,"155 kcal, por 100g",,fatsecret-3094,50,139.0,0.0,5.28,2023-09-29 17:12:36.861,2018-09-10 01:42:13.920,2.03,6.26,0.704,3.3333335,Ovo Cozido,0.56,,1.9230769,77.0,grande,,xoyixJvqZs,g,1.627,,com.sec.android.app.shealth,0.56,0.65,11abc3c2-fd0c-4315-8a3f-e15c5ca4241a,1,
,,,,0.0,"125 kcal, por 2 fatias (50g)",,fatsecret-13269177,50,127.0,3.4,1.3,2018-09-11 10:36:58.376,2018-09-11 10:36:58.376,,6.7,,,Pão de Sanduíche Integral(Seven Boys),,,,125.0,porção,,zjIwstRrv1,g,0.3,0.0,com.sec.android.app.shealth,21.0,0.4,61ead18e-2e37-4f52-abb6-e1fb995086c7,1,
40.0,1.0,2.0,,0.0,"18 kcal, por 100g",,fatsecret-519595,17,1.0,0.2,0.03,2020-12-29 00:10:19.588,2018-09-17 01:53:29.106,0.009,0.15,0.023,0.0,Tomates Cereja,0.45,,0.0,3.0,cereja,,yfgkJHa6g4,g,0.008,,com.sec.android.app.shealth,0.67,5.6666665,9ee7dc67-50d9-4c63-929c-9f08021f577d,1,
252.0,0.22222222,79.55556,0.0,0.0,"31 kcal, por 139g",,fatsecret-6471,180,511.0,4.9,0.67,2023-09-22 16:09:50.902,2018-09-16 01:45:18.645,0.047,3.15,0.323,3.6111112,Couve-Flor Cozida (Cozinhado sem Gordura Adicionada),2.3,,2.2307692,40.0,xícara,,xoyixJvqZs,g,0.105,,com.sec.android.app.shealth,7.13,4.5,212a8117-eb22-46ad-8185-8d751879c7aa,1,
