com.samsung.shealth.activity.day_summary,6233003,3
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
0,0,,0,2017-01-09 20:08:04.908,2017-01-09 20:08:04.908,-1,0,0,0.0,0.0,29063bfd-b354-4922-be38-4df1291d64fc.extra_data.json,n2OTyB17mi,0,com.sec.android.app.shealth,0,-1,29063bfd-b354-4922-be38-4df1291d64fc,1483574400000,
8045,4789487,,0,2017-09-30 01:58:20.264,2017-09-29 03:01:38.680,-1,240000,0,7070.951,387.71005,9e8426b0-bb77-44d5-91a5-7e07250c5a0d.extra_data.json,n2OTyB17mi,460904,com.sec.android.app.shealth,4328583,27540000,9e8426b0-bb77-44d5-91a5-7e07250c5a0d,1506643200000,
1599,999516,,0,2017-02-13 00:07:38.928,2017-02-12 02:00:00.676,-1,52026,0,1521.6698,84.35,2cc23799-0f33-46d0-8354-3111df1d98a2.extra_data.json,n2OTyB17mi,100400,com.sec.android.app.shealth,899116,42960000,2cc23799-0f33-46d0-8354-3111df1d98a2,1486857600000,
5557,3545976,,0,2016-08-11 00:50:10.643,2016-08-10 03:00:02.206,-1,180000,0,3704.4966,188.58,8b81e52e-1c3f-4b88-bfa1-42d0cddb7d96.extra_data.json,f1/7zwjou1,95262,com.sec.android.app.shealth,3450714,26400000,8b81e52e-1c3f-4b88-bfa1-42d0cddb7d96,1470787200000,
10694,6714877,,0,2016-06-16 21:19:53.549,2016-06-16 21:19:53.549,-1,1165633,0,7051.139,340.69153,68a3b8e5-3ef7-4117-b7b8-be924bd1de1d.extra_data.json,f1/7zwjou1,93437,com.sec.android.app.shealth,6621440,22860000,68a3b8e5-3ef7-4117-b7b8-be924bd1de1d,1464652800000,
10169,6159438,,0,2017-01-17 01:56:47.693,2017-01-16 02:00:01.214,-1,689874,0,9135.578,446.81104,8168e430-a6c5-4f3a-9f59-481d119e96a2.extra_data.json,n2OTyB17mi,580507,com.sec.android.app.shealth,5578931,31740000,8168e430-a6c5-4f3a-9f59-481d119e96a2,1484524800000,
0,0,,0,2017-01-09 20:08:04.725,2017-01-09 20:08:04.725,-1,0,0,0.0,0.0,bd4eb024-7f2c-46e9-9919-266f728658ff.extra_data.json,n2OTyB17mi,0,com.sec.android.app.shealth,0,-1,bd4eb024-7f2c-46e9-9919-266f728658ff,1483488000000,
2675,1680362,,0,2017-03-21 00:40:45.758,2017-03-20 03:00:00.865,-1,60000,0,2417.9207,136.8,53446db1-83d1-424c-8d02-017c114dbde9.extra_data.json,n2OTyB17mi,155600,com.sec.android.app.shealth,1524762,36180000,53446db1-83d1-424c-8d02-017c114dbde9,1489968000000,
1687,1063588,,0,2017-03-13 00:07:10.025,2017-03-12 03:00:00.599,-1,120000,0,1445.7803,74.58999,c588bc8c-5410-4d0d-9430-7efc8a7a752c.extra_data.json,n2OTyB17mi,50209,com.sec.android.app.shealth,1013379,31140000,c588bc8c-5410-4d0d-9430-7efc8a7a752c,1489276800000,
4625,2975795,,0,2016-11-05 00:40:24.636,2016-11-04 02:01:02.666,-1,240000,0,3059.0706,146.35994,4ca72e21-2a46-4ce6-8adf-84d2970355b7.extra_data.json,f1/7zwjou1,32516,com.sec.android.app.shealth,2943279,24420000,4ca72e21-2a46-4ce6-8adf-84d2970355b7,1478217600000,
3905,2577401,,0,2017-10-20 01:15:00.941,2017-10-19 02:00:00.953,-1,60000,0,3206.3596,160.06998,f878387b-4afb-402e-856b-56e4e1d75e63.extra_data.json,n2OTyB17mi,40800,com.sec.android.app.shealth,2536601,29700000,f878387b-4afb-402e-856b-56e4e1d75e63,1508371200000,
1617,1065723,,0,2016-11-26 13:03:15.575,2016-11-26 02:00:02.631,-1,60000,0,1099.1154,53.589996,08d964db-dad1-414e-a1ce-b6ead412b333.extra_data.json,f1/7zwjou1,19200,com.sec.android.app.shealth,1046523,27840000,08d964db-dad1-414e-a1ce-b6ead412b333,1480118400000,
4526,2742822,,0,2017-11-18 00:54:38.221,2017-11-17 02:00:12.344,-1,120000,0,4263.0195,241.77005,ee5ab32b-4a13-4434-9b1b-1ebe17a51f2b.extra_data.json,n2OTyB17mi,363648,com.sec.android.app.shealth,2379174,31560000,ee5ab32b-4a13-4434-9b1b-1ebe17a51f2b,1510876800000,
1772,1110223,,0,2016-07-01 02:32:23.645,2016-06-30 03:02:09.794,-1,60000,0,1233.3896,62.98,f9597b37-e19c-40b2-b047-abf3df016dfd.extra_data.json,f1/7zwjou1,71259,com.sec.android.app.shealth,1038964,29340000,f9597b37-e19c-40b2-b047-abf3df016dfd,1467244800000,
