com.samsung.shealth.best_records,6233003,2
source_id,device_type,update_time,create_time,source_pkg_name,date,type,value,is_shown,extra_type,deviceuuid,pkg_name,controller_id,datauuid
fa2cc59d-2644-ed95-cda3-7a9b021c070d,-1,2023-10-06 20:51:47.514,2020-12-29 23:18:20.991,,1608477748000,2,4467.1704,,-1,yfgkJHa6g4,com.sec.android.app.shealth,tracker.sport_cycling,9fe3468a-c060-43d1-b772-39ea387cb3c1,
6f8f4680-07d1-109b-7fc4-3e854d2a9cc1,-1,2023-10-06 20:51:47.443,2021-01-29 05:57:08.096,,1611043165000,2,10312.364,,11007,yfgkJHa6g4,com.sec.android.app.shealth,tracker.sport_others,14d1e8dd-9f94-425b-876c-1d9e39800ec5,
bbf5f9bc-6f89-4700-9ff6-f456e42aa4d0,-1,2023-10-06 20:51:47.476,2022-02-19 14:32:34.369,,1645268567549,5,25.484888,,-1,yfgkJHa6g4,com.sec.android.app.shealth,tracker.sport_running,c2fe246b-fc1e-4bc9-84e9-888abfb1594a,
,-1,2022-12-16 13:59:49.708,2022-12-16 13:59:49.708,,1671062400000,6,15.0,,-1,yfgkJHa6g4,com.sec.android.app.shealth,tracker.floor,27ea5126-121c-45f8-85e9-9648e90fad8a,
,-1,2023-02-19 06:23:25.645,2023-02-19 06:23:25.645,,1676678400000,6,40.0,,-1,yfgkJHa6g4,com.sec.android.app.shealth,tracker.floor,85d01a67-e132-4193-b2e1-90b81a1f0dac,
,-100003,2023-08-15 03:00:02.459,2023-08-15 03:00:02.459,,1685750400000,0,42059.0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,d2ab8966-3a41-4795-b905-7b700c7b3238,
b6b9cd2e-4319-4dd2-af17-abce2dd48cb3,-1,2023-10-06 20:51:47.472,2016-03-23 19:52:57.975,,1458751592630,1,382322.0,,-1,f1/7zwjou1,com.sec.android.app.shealth,tracker.sport_cycling,9c5014d4-bd18-472e-90b6-28fbe6a1080b,
,-100003,2017-03-27 03:02:31.513,2017-03-27 03:02:31.513,,1490486400000,0,31272.0,,-1,n2OTyB17mi,com.sec.android.app.shealth,tracker.pedometer,5406eb57-0878-4b9f-8a63-6e0ac8085552,
5e18dde1-2c36-4476-bd11-471869a0f4b1,-1,2023-10-06 20:51:47.425,2018-09-07 19:50:37.133,,1536335700000,1,3300000.0,,-1,zjIwstRrv1,com.sec.android.app.shealth,tracker.sport_cycling,fdc492bf-dbc2-4728-a020-7c14b7de66ea,
c1a1656e-fbac-b7ac-c740-b6410b2951d4,-1,2023-10-06 20:51:47.487,2020-12-01 20:23:34.769,,1606760520000,4,0.8621289,,-1,yfgkJHa6g4,com.sec.android.app.shealth,tracker.sport_walking,a2c15775-ced8-4d0d-9cf1-b13f1322d2fb,
fa2cc59d-2644-ed95-cda3-7a9b021c070d,-1,2023-10-06 20:51:47.514,2020-12-29 23:18:21.011,,1608477748000,3,45040.61,,-1,yfgkJHa6g4,com.sec.android.app.shealth,tracker.sport_cycling,e3162ed9-4157-41c4-b45f-e18c9605a138,
46b2a6b9-dc3e-2230-7752-5877bf365c89,-1,2023-10-06 20:51:47.413,2021-03-19 20:31:54.132,,1616171113000,4,12.472461,,-1,yfgkJHa6g4,com.sec.android.app.shealth,tracker.sport_cycling,20b9665f-5eb2-40be-963a-078f5989185b,
,-1,2022-12-09 00:11:00.338,2022-12-09 00:11:00.338,,1670457600000,6,5.0,,-1,yfgkJHa6g4,com.sec.android.app.shealth,tracker.floor,2ded96c3-ada1-4d26-8e2f-f1dc6d346360,
,-1,2022-12-18 11:57:01.915,2022-12-18 11:57:01.915,,1671235200000,6,19.0,,-1,yfgkJHa6g4,com.sec.android.app.shealth,tracker.floor,b13ad94b-6ae3-4792-8df6-305eaeceddeb,
,-1,2023-02-20 14:15:17.467,2023-02-20 14:15:17.467,,1676764800000,6,55.0,,-1,yfgkJHa6g4,com.sec.android.app.shealth,tracker.floor,c550a69c-a080-44c9-91d0-2dcbb7661484,
,-100003,2016-06-16 21:19:47.545,2016-06-16 21:19:47.545,,1420588800000,0,2475.0,,-1,f1/7zwjou1,com.sec.android.app.shealth,tracker.pedometer,39570d1b-93e7-4c69-83ee-45f13ecd9b8b,
,-100003,2016-06-16 21:19:48.027,2016-06-16 21:19:48.027,,1423958400000,0,11028.0,,-1,f1/7zwjou1,com.sec.android.app.shealth,tracker.pedometer,3091ee35-a926-415c-a157-5a2daf949757,
f6ed11f1-140a-43df-a4cc-ed0f602b4987,-1,2023-10-06 20:51:47.508,2018-09-08 20:13:50.869,,1536421581963,1,5245685.0,,6004,zjIwstRrv1,com.sec.android.app.shealth,tracker.sport_others,ac5716c2-4d09-43cf-8cdf-99d4314106c4,
b2cbdc47-28ae-6f99-50bb-38c3baaf90d1,-1,2023-10-06 20:51:47.466,2020-12-29 23:18:20.380,,1607619219000,2,618.66547,,10002,yfgkJHa6g4,com.sec.android.app.shealth,tracker.sport_others,2d53f529-3730-4d5d-93ab-7acfdb1696ec,
f18b83a7-c000-66b9-ce82-90314010c1db,-1,2023-10-06 20:51:47.504,2021-01-17 08:31:57.269,,1610297954000,3,50827.8,,11007,yfgkJHa6g4,com.sec.android.app.shealth,tracker.sport_others,1cf72af8-afd9-455c-9a38-5c1f097bd193,
be78bbbd-e1c5-7994-9f11-964c65038efe,-1,2023-10-06 20:51:47.481,2021-04-04 21:03:54.654,,1617550003000,4,12.58112,,-1,yfgkJHa6g4,com.sec.android.app.shealth,tracker.sport_cycling,e5038518-6900-4443-8784-ba967528886f,
,-1,2022-12-11 12:01:58.435,2022-12-11 12:01:58.435,,1670630400000,6,6.0,,-1,yfgkJHa6g4,com.sec.android.app.shealth,tracker.floor,df40e737-5b4e-4da6-90ca-78ef1de3615c,
,-1,2022-12-27 11:32:26.178,2022-12-27 11:32:26.178,,1672012800000,6,30.0,,-1,yfgkJHa6g4,com.sec.android.app.shealth,tracker.floor,52870b00-868a-4bee-8e74-530253a33fa0,
9fb3b226-7e72-4fe9-b7a5-d84d9a1e0394,-1,2023-10-06 20:51:47.455,2023-03-04 17:44:07.551,,1677926674019,4,16.18,,-1,yfgkJHa6g4,com.sec.android.app.shealth,tracker.sport_cycling,114d3f40-7590-4554-944a-752c9c037a6c,
