com.samsung.health.food_intake,6233003,4
start_time,amount,custom,update_time,create_time,meal_type,name,unit,calorie,time_offset,deviceuuid,comment,pkg_name,datauuid,food_info_id
2019-01-18 21:00:00.000,1.0,,2019-01-18 21:00:31.292,2019-01-18 21:00:31.292,100003,,-1,1089.0,UTC-0200,zjIwstRrv1,,com.sec.android.app.shealth,d51a6a1d-2262-41b4-924b-a1638f0cb515,meal_auto_filled,
2018-09-08 14:00:00.280,1.0,,2018-09-08 15:25:44.317,2018-09-08 15:21:01.580,100001,Leite Desnatado(Tirol),120001,61.0,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,481ce020-e475-4c0d-af19-175f93a7cf9a,6d630cc4-be4a-46d7-8372-64e806c7ee67,
2018-09-11 15:00:00.000,115.0,,2018-09-12 11:21:24.399,2018-09-12 11:21:24.399,100002,Bife de Carne de Vaca,120002,289.8,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,76c9d524-0847-4d51-b696-a750c0469348,a085a43c-4834-41aa-bd67-875e6948f84b,
2018-09-08 16:29:52.813,60.0,,2018-09-08 17:06:38.954,2018-09-08 16:35:49.033,100002,Frango Grelhado,120002,142.25807,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,7f5bb4b2-a83d-4344-b611-d7c61714721c,5adc9e37-9870-4e45-9ff1-263fc1c102ef,
2018-10-27 12:00:00.000,,,2018-10-27 12:00:43.849,2018-10-27 12:00:43.849,100001,,,1093.0,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,79db8cb5-e708-483e-a8d2-7184ba8df35f,meal_auto_filled,
2018-11-05 11:00:00.000,1.0,,2018-11-05 11:00:09.011,2018-11-05 11:00:09.011,100001,,-1,1093.0,UTC-0200,zjIwstRrv1,,com.sec.android.app.shealth,2c1e54ee-9729-4ba9-ba66-123ef316f7f8,meal_auto_filled,
2019-01-09 21:00:00.000,1.0,,2019-01-09 21:00:43.783,2019-01-09 21:00:43.783,100003,,-1,1089.0,UTC-0200,zjIwstRrv1,,com.sec.android.app.shealth,f361d5bb-b870-4b42-b22d-0e8634aacf89,meal_auto_filled,
2018-11-18 11:00:00.000,1.0,,2018-11-18 15:34:18.575,2018-11-18 15:34:18.575,100001,,-1,1093.0,UTC-0200,zjIwstRrv1,,com.sec.android.app.shealth,992aae13-1fd5-4dea-94cc-e78e1e5ad7a6,meal_auto_filled,
2018-09-10 14:50:43.730,140.0,,2018-09-10 15:02:49.682,2018-09-10 15:02:49.682,100002,Frango Grelhado,120002,331.9355,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,0079b518-b45c-41d8-babe-d45f6d0ed401,5adc9e37-9870-4e45-9ff1-263fc1c102ef,
2018-10-17 22:00:00.000,,,2018-10-17 22:00:20.853,2018-10-17 22:00:20.853,100003,,,1092.0,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,0ee27214-5759-41a1-92e6-126d70911549,meal_auto_filled,
2019-01-04 21:00:00.000,1.0,,2019-01-04 21:00:55.120,2019-01-04 21:00:55.120,100003,,-1,1089.0,UTC-0200,zjIwstRrv1,,com.sec.android.app.shealth,c80b82db-3642-4fd4-87bf-c27beaa92dc3,meal_auto_filled,
2018-10-18 12:00:00.000,,,2018-10-18 12:01:33.113,2018-10-18 12:01:33.113,100001,,,1093.0,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,201bf623-2019-40ba-9ce7-a04ebc7af15d,meal_auto_filled,
2018-09-25 22:00:00.000,,,2018-09-25 22:01:47.075,2018-09-25 22:01:47.075,100003,,,1092.0,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,dea0b642-b4e5-4793-8563-649992152a7e,meal_auto_filled,
2018-09-11 18:00:00.000,60.0,,2018-09-12 11:26:15.839,2018-09-12 11:26:15.839,100005,Feijão Carioca Cozido,120002,45.25,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,d4513e2c-4024-45e4-81af-f8e8f784b948,f546ad13-e0bc-41bd-bd1c-24a988c32e47,
2019-01-18 11:00:00.000,1.0,,2019-01-18 11:01:00.884,2019-01-18 11:01:00.884,100001,,-1,1090.0,UTC-0200,zjIwstRrv1,,com.sec.android.app.shealth,3e312478-d253-4b86-b68b-2d08ceb8426d,meal_auto_filled,
2018-09-12 17:26:12.370,125.0,,2018-09-12 17:28:21.458,2018-09-12 17:28:21.458,100002,Arroz Integral Cozido(Tio João),120002,156.25,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,e823ed01-1949-4de2-9ec9-2dbbf2f8730d,0cb0b176-bca3-4a29-ab15-46fc81e9914a,
2018-09-11 10:33:56.614,1.0,,2018-09-11 10:40:46.421,2018-09-11 10:40:46.421,100001,Banana,120001,105.0,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,999f0fef-b5d0-4cfc-ab27-b2a15e32d0e6,c5936c0c-8c30-4a54-a98e-7588ea3f8fc0,
2019-01-22 11:00:00.000,1.0,,2019-01-22 11:01:00.738,2019-01-22 11:01:00.738,100001,,-1,1090.0,UTC-0200,zjIwstRrv1,,com.sec.android.app.shealth,bd3df916-4269-4993-bf08-65e0fd36fb54,meal_auto_filled,
2018-12-11 16:00:00.000,1.0,,2018-12-11 16:00:46.743,2018-12-11 16:00:46.743,100002,,-1,1092.0,UTC-0200,zjIwstRrv1,,com.sec.android.app.shealth,4bcdf239-5009-478c-856f-56d8bccda8da,meal_auto_filled,
2018-10-28 22:00:00.000,1.0,,2018-10-28 22:01:00.310,2018-10-28 22:01:00.310,100003,,-1,1092.0,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,e252a282-0c0e-4952-a6d6-3c7bc70ef73f,meal_auto_filled,
2018-12-19 16:00:00.000,1.0,,2018-12-19 16:00:27.772,2018-12-19 16:00:27.772,100002,,-1,1092.0,UTC-0200,zjIwstRrv1,,com.sec.android.app.shealth,7a4821b5-b0c4-437c-8982-17dfba50f528,meal_auto_filled,
2018-10-04 17:00:00.000,,,2018-10-04 17:01:02.749,2018-10-04 17:01:02.749,100002,,,1092.0,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,7c3435cb-62e5-401a-86ec-5fe84c26fd93,meal_auto_filled,
2018-09-13 10:58:31.372,1.0,,2018-09-13 10:59:54.106,2018-09-13 10:59:54.106,100001,Café com Leite Desnatado,120001,5.0,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,0100bdc4-e278-4e68-a116-d253d1809f2e,f5ace4d0-888d-4185-aa2d-21a439a82fd9,
2018-09-17 19:27:00.356,1.2,,2018-09-18 13:08:35.897,2018-09-18 13:08:35.897,100005,Ketchup Tradicional(Hemmer),120001,18.0,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,33a71b04-4ff6-4b0e-9464-9d53fe7a25f0,2095cb95-4857-48e0-97b9-4e159a360fde,
2018-09-21 11:00:00.000,40.0,,2018-09-22 12:41:11.175,2018-09-22 12:41:11.175,100001,Uvas-Passas (sem Sementes),120002,120.0,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,771b0259-d4e8-4fed-822c-84afb54f8b24,baed6dc0-39cc-4448-be35-26ddb0384cb9,
2018-11-10 21:00:00.000,1.0,,2018-11-10 21:02:20.307,2018-11-10 21:02:20.307,100003,,-1,1092.0,UTC-0200,zjIwstRrv1,,com.sec.android.app.shealth,41503b43-6155-45e4-80a1-22889e86bc39,meal_auto_filled,
2018-10-29 17:00:00.000,1.0,,2018-10-29 17:01:01.432,2018-10-29 17:01:01.432,100002,,-1,1092.0,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,83c96729-fb18-4dc1-a804-6542ae916d65,meal_auto_filled,
2018-10-10 17:00:00.000,,,2018-10-10 17:00:34.653,2018-10-10 17:00:34.653,100002,,,1092.0,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,3b643fbc-7b33-4bf8-b62a-05f46aab711e,meal_auto_filled,
2018-10-16 12:00:00.000,,,2018-10-16 12:02:20.665,2018-10-16 12:02:20.665,100001,,,1093.0,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,3a351aad-ba5a-48c8-bac5-e0c6130c20eb,meal_auto_filled,
2018-09-18 10:41:05.742,1.0,,2018-09-18 11:21:57.825,2018-09-18 11:21:57.825,100001,Queijo Mussarela Light(Tirolez),120001,87.0,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,29c68744-0a54-4944-8645-7601f9becd1a,84a7b13c-634d-46fa-97f1-13dfba4a4dfe,
2018-09-13 15:00:00.000,115.0,,2018-09-13 23:28:27.417,2018-09-13 23:28:27.417,100002,Feijão Carioca Cozido,120002,86.729164,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,be1b27ac-a08c-4d84-afdc-0d3672e7c20a,f546ad13-e0bc-41bd-bd1c-24a988c32e47,
2018-09-12 18:00:00.038,1.0,,2018-09-13 10:47:10.152,2018-09-13 10:46:55.192,100005,Top Whey 3W(Max Titanium),120001,167.0,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,89293df0-8df8-412e-b1d1-17347cf368fc,1214ef4e-c837-45f9-a820-4bdee7219682,
