com.samsung.shealth.exercise.weather,6233003,3
uv_index,sunset_time,start_time,latitude,custom,wind_direction,phrase,sundown_time,temperature_scale,content_provider,update_time,create_time,type,longitude,temperature,humidity,time_offset,deviceuuid,exercise_id,pkg_name,wind_speed_unit,forecast_time,wind_speed,icon_info_id,datauuid
,0,2018-02-16 17:12:22.878,38.699436,,ONO. 290,Encoberto,0,1,TWC,2018-02-16 17:12:22.884,2018-02-16 17:12:22.884,1,-9.446639,13.0,87,UTC+0000,n2OTyB17mi,0659de17-b817-4223-9b78-3bf57717f949,com.sec.android.app.shealth,km/h,0,18.0,3,0778a186-2075-4be8-8fa9-5cb8493f17ce,
,0,2019-08-14 15:14:09.699,-30.071817,,SSO. 200,Encoberto,0,1,TWC,2019-08-14 15:14:09.701,2019-08-14 15:14:09.701,1,-51.098286,11.0,70,UTC-0300,zjIwstRrv1,e9e6f894-0058-4334-b665-f24c032261e7,com.sec.android.app.shealth,km/h,0,5.0,3,35ee470b-2f73-4960-a86c-78780b6196bd,
,0,2019-05-29 16:07:42.964,-30.072216,,NNO. 330,Encoberto,0,1,TWC,2019-05-29 16:07:42.967,2019-05-29 16:07:42.967,1,-51.12033,19.0,72,UTC-0300,zjIwstRrv1,b2910501-299d-41cc-8caf-429d049ce4cf,com.sec.android.app.shealth,km/h,0,8.0,3,4edd1d58-3fb5-4965-a48c-7b08f79ce69d,
,0,2018-11-20 15:39:06.868,-30.073254,,N. 10,Limpo,0,1,TWC,2018-11-20 15:39:06.874,2018-11-20 15:39:06.874,1,-51.119946,26.0,48,UTC-0200,zjIwstRrv1,6017f548-5a2a-42fa-8f6c-8568971eec5b,com.sec.android.app.shealth,km/h,0,5.0,1,7bce93a2-6971-4c76-bb41-3bc13e113d1c,
,0,2018-07-18 16:31:44.461,-30.035614,,E. 80,Limpo,0,1,TWC,2018-07-18 16:31:44.464,2018-07-18 16:31:44.464,1,-51.20811,26.0,67,UTC-0300,n2OTyB17mi,0dee89bb-757d-4e36-a0f0-43dd929942df,com.sec.android.app.shealth,km/h,0,10.0,1,24de3727-69ab-42dc-8378-1319fdb8d746,
,0,2018-11-07 21:13:56.117,-30.030666,,ESE. 120,Parcial. nublado,0,1,TWC,2018-11-07 21:13:56.119,2018-11-07 21:13:56.119,1,-51.210556,23.0,66,UTC-0200,zjIwstRrv1,2c3be3fa-ba9e-4a79-bbb9-c6af1f22ef08,com.sec.android.app.shealth,km/h,0,26.0,2,0ab426b9-36a5-4cb7-af74-af8021ccbf03,
0.0,0,2017-03-26 15:09:46.215,-23.587017,,E. 90.0,Muito nublado,0,0,AccuWeather,2017-03-26 15:09:46.223,2017-03-26 15:09:46.223,1,-46.65963,81.0,65,UTC-0300,n2OTyB17mi,3aaa8568-a253-46ea-b661-a7e2af3a6558,com.sec.android.app.shealth,mi/h,0,15.0,20,0328f7b8-02da-4f94-b3e8-00f3b50107a6,
,0,2018-11-14 14:48:58.514,-30.044079,,O. 280,Chuva fraca,0,1,TWC,2018-11-14 14:48:58.516,2018-11-14 14:48:58.516,1,-51.206097,25.0,82,UTC-0200,zjIwstRrv1,b63aa33f-766c-4f4e-a5b4-446361e889b3,com.sec.android.app.shealth,km/h,0,16.0,5,debde8ac-3abb-4dc1-bf4d-37c650600fb3,
,0,2019-08-16 18:31:48.726,-30.02638,,E. 90,Limpo,0,1,TWC,2019-08-16 18:31:48.728,2019-08-16 18:31:48.728,1,-51.22577,26.0,53,UTC-0300,zjIwstRrv1,54151974-6290-4115-aa0c-ea67140e4dc1,com.sec.android.app.shealth,km/h,0,10.0,1,a7684431-b920-4ffa-82f4-172688f417ad,
,0,2019-01-04 10:44:28.243,-30.040117,,OSO. 250,Nublado,0,1,TWC,2019-01-04 10:44:28.245,2019-01-04 10:44:28.245,1,-51.20767,22.0,90,UTC-0200,zjIwstRrv1,ec4617b1-975f-484b-af87-460c6056a053,com.sec.android.app.shealth,km/h,0,5.0,3,d51101b3-537a-4f12-b7c3-09a5ae57e070,
