com.samsung.shealth.program.sleep_coaching.mission,6233003,2
answer,priority,update_time,create_time,data_version,day_index,mission_id,deviceuuid,pkg_name,is_key_habit,session_id,datauuid,is_done
null,,2023-01-27 19:28:00.263,2023-01-27 19:28:00.263,1,6,SP_MSN_03,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,4d648b2e-d7a8-4681-9a0a-22492faa8555,0,
null,,2023-01-27 19:28:00.263,2023-01-27 19:28:00.263,1,8,SP_MSN_01,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,9f356b85-21e9-4ae6-b888-e75f4340365d,0,
null,,2023-01-27 19:28:00.264,2023-01-27 19:28:00.264,1,9,SP_MSN_13,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,b039c87b-db85-41cb-a0c3-8da1bd155e24,0,
null,,2023-01-27 19:28:00.264,2023-01-27 19:28:00.264,1,10,SP_MSN_18,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,21262c91-17c2-42e3-87cd-1d89e607e2cc,0,
null,,2023-01-27 19:28:00.265,2023-01-27 19:28:00.265,1,12,SP_MSN_11,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,fb18d421-5dba-4f0a-94fc-6cc50977669a,0,
null,,2023-01-27 19:28:00.265,2023-01-27 19:28:00.265,1,13,SP_MSN_14,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,90037ec8-18eb-4c60-ac2e-402bb61a8370,0,
null,,2023-01-27 19:28:00.266,2023-01-27 19:28:00.266,1,15,SP_MSN_01,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,a0fa8342-4986-4023-8e6e-87e0253d9d41,0,
null,,2023-01-27 19:28:00.266,2023-01-27 19:28:00.266,1,16,SP_MSN_18,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,8e30b791-c1a7-4ed7-b690-7acf106608cd,0,
null,,2023-01-27 19:28:00.267,2023-01-27 19:28:00.267,1,18,SP_MSN_05,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,6ff70221-e552-43df-bf03-c933bd295b06,0,
null,,2023-01-27 19:28:00.267,2023-01-27 19:28:00.267,1,20,SP_MSN_04,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,4c39db22-b04c-49b8-bfbc-718545045fcf,0,
