com.samsung.shealth.tracker.pedometer_day_summary,6233003,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
6455,73716b88-c685-4ecd-a593-ddd06769b9d2.binning_data.json,0,0,64,2016-03-23 19:35:36.412,com.sec.android.app.shealth,2016-03-23 19:35:36.412,,0.0,4344.279,201.26,6391,VfS0qUERdZ,com.sec.android.app.shealth,0,73716b88-c685-4ecd-a593-ddd06769b9d2.achievement.json,73716b88-c685-4ecd-a593-ddd06769b9d2,1433289600000,
5729,64a8103d-ff47-4461-8916-99e1f6a3b38b.binning_data.json,0,0,80,2016-03-23 19:35:06.496,com.sec.android.app.shealth,2016-03-23 19:35:06.496,,0.0,3855.016,177.86,5649,VfS0qUERdZ,com.sec.android.app.shealth,0,64a8103d-ff47-4461-8916-99e1f6a3b38b.achievement.json,64a8103d-ff47-4461-8916-99e1f6a3b38b,1423872000000,
5069,ef55b780-108d-4c42-91d1-f390ec682fe9.binning_data.json,3189644,0,66,2016-03-23 19:36:06.856,com.sec.android.app.shealth,2016-03-23 19:36:06.856,,2.1101673,3359.577,158.24998,5003,VfS0qUERdZ,com.sec.android.app.shealth,0,ef55b780-108d-4c42-91d1-f390ec682fe9.achievement.json,ef55b780-108d-4c42-91d1-f390ec682fe9,1442275200000,
6702,1a4234bd-63b3-418e-90e3-564e268fdf95.binning_data.json,4068275,5000,264,2016-03-03 03:03:54.731,com.sec.android.app.shealth,2016-03-02 15:00:10.651,,2.3006005,4506.0137,214.56998,6438,f1/7zwjou1,com.sec.android.app.shealth,0,1a4234bd-63b3-418e-90e3-564e268fdf95.achievement.json,1a4234bd-63b3-418e-90e3-564e268fdf95,1456876800000,
7273,925c39bb-806d-45ae-9940-310edd24e6fe.binning_data.json,4375049,0,133,2016-03-23 19:36:15.956,com.sec.android.app.shealth,2016-03-23 19:36:15.956,,4.5723124,4835.5894,227.76999,7140,VfS0qUERdZ,com.sec.android.app.shealth,0,925c39bb-806d-45ae-9940-310edd24e6fe.achievement.json,925c39bb-806d-45ae-9940-310edd24e6fe,1443657600000,
7397,7f56c4b1-083d-4e27-9d1a-c3a83c8f93e9.binning_data.json,4635184,0,70,2016-03-23 19:35:52.881,com.sec.android.app.shealth,2016-03-23 19:35:52.881,,2.1750603,4778.9507,226.26999,7327,VfS0qUERdZ,com.sec.android.app.shealth,0,7f56c4b1-083d-4e27-9d1a-c3a83c8f93e9.achievement.json,7f56c4b1-083d-4e27-9d1a-c3a83c8f93e9,1438300800000,
5554,9aad5b68-c4a4-4338-aae8-c673f170589c.binning_data.json,0,0,49,2016-03-23 19:35:34.615,com.sec.android.app.shealth,2016-03-23 19:35:34.615,,0.0,3570.196,169.55997,5505,VfS0qUERdZ,com.sec.android.app.shealth,0,9aad5b68-c4a4-4338-aae8-c673f170589c.achievement.json,9aad5b68-c4a4-4338-aae8-c673f170589c,1432771200000,
1367,1cc92872-bd55-42b8-a50d-a1b762921055.binning_data.json,0,0,17,2016-03-23 19:35:32.161,com.sec.android.app.shealth,2016-03-23 19:35:32.161,,0.0,944.55566,43.37,1350,VfS0qUERdZ,com.sec.android.app.shealth,0,1cc92872-bd55-42b8-a50d-a1b762921055.achievement.json,1cc92872-bd55-42b8-a50d-a1b762921055,1431820800000,
3061,1636261f-7f8d-431a-9d55-77d410e7dac0.binning_data.json,0,0,116,2016-03-23 19:35:24.447,com.sec.android.app.shealth,2016-03-23 19:35:24.447,,0.0,2138.648,100.88998,2945,VfS0qUERdZ,com.sec.android.app.shealth,0,1636261f-7f8d-431a-9d55-77d410e7dac0.achievement.json,1636261f-7f8d-431a-9d55-77d410e7dac0,1429401600000,
6370,cf229a8d-54e9-4672-b442-835a02a1e495.binning_data.json,3770051,0,269,2016-03-23 19:37:46.740,com.sec.android.app.shealth,2016-03-23 19:37:46.740,,3.5973654,4325.269,207.66998,6101,VfS0qUERdZ,com.sec.android.app.shealth,0,cf229a8d-54e9-4672-b442-835a02a1e495.achievement.json,cf229a8d-54e9-4672-b442-835a02a1e495,1456444800000,
