com.samsung.shealth.step_daily_trend,6233003,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
e3ba2868-a3e7-47cc-974d-e194aa21575c.binning_data.json,2019-09-29 02:00:00.745,2019-09-28 03:14:58.599,com.sec.android.app.shealth,-2,3349,1.337851,2504.68,138.31,VfS0qUERdZ,com.sec.android.app.shealth,e3ba2868-a3e7-47cc-974d-e194aa21575c,1569628800000,
15cd4deb-ebed-4599-a6d9-134de2a9543a.binning_data.json,2019-09-28 03:00:01.979,2019-09-28 03:00:01.979,com.sec.android.app.shealth,0,8190,6.9444447,6101.27,355.66998,yfgkJHa6g4,com.sec.android.app.shealth,15cd4deb-ebed-4599-a6d9-134de2a9543a,1569542400000,
c38303eb-68c0-4538-ab26-2f5ae5a0fb79.binning_data.json,2019-09-27 03:00:02.232,2019-09-26 15:29:10.521,com.sec.android.app.shealth,0,2759,1.9722222,2058.57,114.36,yfgkJHa6g4,com.sec.android.app.shealth,c38303eb-68c0-4538-ab26-2f5ae5a0fb79,1569456000000,
548c6457-85d6-46f7-9881-40be424938cc.binning_data.json,2019-09-28 02:33:40.156,2019-09-27 03:05:18.687,com.sec.android.app.shealth,-2,8190,1.3562207,6101.27,355.66998,VfS0qUERdZ,com.sec.android.app.shealth,548c6457-85d6-46f7-9881-40be424938cc,1569542400000,
b11cdd44-28d0-4bcc-ac95-bcc7089a6a68.binning_data.json,2019-10-02 09:52:41.862,2019-10-02 09:52:41.862,com.sec.android.app.shealth,0,14313,6.9444447,10626.45,606.75995,yfgkJHa6g4,com.sec.android.app.shealth,b11cdd44-28d0-4bcc-ac95-bcc7089a6a68,1569888000000,
a560190b-6649-4ecc-8924-373e056f8e46.binning_data.json,2019-09-29 13:37:54.564,2019-09-29 13:37:54.564,com.sec.android.app.shealth,0,3349,2.8611112,2504.68,138.31,yfgkJHa6g4,com.sec.android.app.shealth,a560190b-6649-4ecc-8924-373e056f8e46,1569628800000,
df243cfc-1701-40fa-9e3f-24641a7b0183.binning_data.json,2019-10-02 02:14:40.535,2019-10-01 09:38:29.133,com.sec.android.app.shealth,-2,14313,1.3983729,10626.45,606.75995,VfS0qUERdZ,com.sec.android.app.shealth,df243cfc-1701-40fa-9e3f-24641a7b0183,1569888000000,
e2af5918-a759-48a2-b573-136344355889.binning_data.json,2019-09-30 02:41:47.383,2019-09-29 13:37:56.652,com.sec.android.app.shealth,-2,1237,1.2481508,916.88,50.059998,VfS0qUERdZ,com.sec.android.app.shealth,e2af5918-a759-48a2-b573-136344355889,1569715200000,
64d0e14e-e43e-4385-be85-1ed9160de006.binning_data.json,2019-10-01 00:03:42.859,2019-09-30 10:24:19.285,com.sec.android.app.shealth,-2,14200,1.4191835,10505.689,635.39,VfS0qUERdZ,com.sec.android.app.shealth,64d0e14e-e43e-4385-be85-1ed9160de006,1569801600000,
80efead8-6a5e-489c-9a56-c5079b0aecac.binning_data.json,2019-10-05 08:24:33.494,2019-10-05 08:24:33.494,com.sec.android.app.shealth,0,10428,2.3974962,7763.5503,443.56995,yfgkJHa6g4,com.sec.android.app.shealth,80efead8-6a5e-489c-9a56-c5079b0aecac,1570147200000,
a67589c8-b3bc-4dab-865f-a0058a841383.binning_data.json,2019-10-01 09:29:41.634,2019-10-01 09:29:41.634,com.sec.android.app.shealth,0,14200,2.8944273,10505.689,635.39,yfgkJHa6g4,com.sec.android.app.shealth,a67589c8-b3bc-4dab-865f-a0058a841383,1569801600000,
ee09fb05-e28b-452c-8b76-91bab1bd7dda.binning_data.json,2019-10-03 02:30:13.633,2019-10-02 10:23:17.152,com.sec.android.app.shealth,-2,5054,1.3958521,3596.03,226.03998,VfS0qUERdZ,com.sec.android.app.shealth,ee09fb05-e28b-452c-8b76-91bab1bd7dda,1569974400000,
9dcf267a-ea5b-47c3-a942-e2849779dcbe.binning_data.json,2019-10-05 02:12:11.425,2019-10-04 09:40:17.115,com.sec.android.app.shealth,-2,10428,1.3699105,7763.5503,443.56995,VfS0qUERdZ,com.sec.android.app.shealth,9dcf267a-ea5b-47c3-a942-e2849779dcbe,1570147200000,
c0936995-b8f4-44b2-8e9c-465dd4ee587a.binning_data.json,2019-10-03 10:37:01.870,2019-10-03 10:37:01.870,com.sec.android.app.shealth,0,5054,1.7777778,3596.03,226.03998,yfgkJHa6g4,com.sec.android.app.shealth,c0936995-b8f4-44b2-8e9c-465dd4ee587a,1569974400000,
d98bd515-1a2c-41af-91ec-d7239dd30311.binning_data.json,2019-10-04 09:34:34.028,2019-10-04 09:34:34.028,com.sec.android.app.shealth,0,7152,2.8333333,5202.35,327.30997,yfgkJHa6g4,com.sec.android.app.shealth,d98bd515-1a2c-41af-91ec-d7239dd30311,1570060800000,
27a7ecf8-4148-4730-b8b4-ae9f8afe6c45.binning_data.json,2019-10-08 09:07:33.812,2019-10-08 09:07:33.812,com.sec.android.app.shealth,0,9461,1.6178943,6960.2397,402.68994,yfgkJHa6g4,com.sec.android.app.shealth,27a7ecf8-4148-4730-b8b4-ae9f8afe6c45,1570406400000,
ad665ad0-c7d0-4d0c-aa43-467b3e2bb84b.binning_data.json,2019-10-06 03:00:15.914,2019-10-05 08:24:33.587,com.sec.android.app.shealth,0,2711,2.6383843,2064.01,111.99,yfgkJHa6g4,com.sec.android.app.shealth,ad665ad0-c7d0-4d0c-aa43-467b3e2bb84b,1570233600000,
c1246641-129e-429b-8460-988e6600ef06.binning_data.json,2019-10-04 02:19:21.624,2019-10-03 11:24:13.567,com.sec.android.app.shealth,-2,7152,1.4659312,5202.35,327.30997,VfS0qUERdZ,com.sec.android.app.shealth,c1246641-129e-429b-8460-988e6600ef06,1570060800000,
91b1776c-d75f-4572-9204-b87e9a730d98.binning_data.json,2019-10-06 02:47:01.008,2019-10-05 08:24:34.869,com.sec.android.app.shealth,-2,2711,1.3160112,2064.01,111.99,VfS0qUERdZ,com.sec.android.app.shealth,91b1776c-d75f-4572-9204-b87e9a730d98,1570233600000,
c4c763e4-d92c-4f65-96ef-dc82cb5b7aec.binning_data.json,2019-10-08 01:29:39.412,2019-10-07 03:09:11.042,com.sec.android.app.shealth,-2,9461,1.3354788,6960.2397,402.68994,VfS0qUERdZ,com.sec.android.app.shealth,c4c763e4-d92c-4f65-96ef-dc82cb5b7aec,1570406400000,
1942d68a-1b2b-4c45-84c1-5668c8243214.binning_data.json,2019-10-09 01:16:33.623,2019-10-08 09:38:48.137,com.sec.android.app.shealth,-2,8668,1.3543645,6405.64,377.00995,VfS0qUERdZ,com.sec.android.app.shealth,1942d68a-1b2b-4c45-84c1-5668c8243214,1570492800000,
81c8feef-3b30-42ea-bd4e-8b27fa870f6e.binning_data.json,2019-10-11 09:34:27.505,2019-10-11 09:34:27.505,com.sec.android.app.shealth,0,10560,1.8055556,7760.42,449.82996,yfgkJHa6g4,com.sec.android.app.shealth,81c8feef-3b30-42ea-bd4e-8b27fa870f6e,1570665600000,
aaaa41c1-0fb7-4d20-9c48-db0642652e21.binning_data.json,2019-10-09 03:00:02.058,2019-10-09 03:00:02.058,com.sec.android.app.shealth,0,8668,2.2777777,6405.64,377.00995,yfgkJHa6g4,com.sec.android.app.shealth,aaaa41c1-0fb7-4d20-9c48-db0642652e21,1570492800000,
4503fcc4-2f2b-4309-a40c-5994d5e2b7c6.binning_data.json,2019-10-07 02:34:17.433,2019-10-06 03:01:02.153,com.sec.android.app.shealth,-2,1554,1.2510811,1124.15,64.85,VfS0qUERdZ,com.sec.android.app.shealth,4503fcc4-2f2b-4309-a40c-5994d5e2b7c6,1570320000000,
c2f8bd07-d84c-4b54-8271-95ad67f1e8c8.binning_data.json,2019-10-07 03:00:02.297,2019-10-07 03:00:02.297,com.sec.android.app.shealth,0,1554,1.8611113,1124.15,64.85,yfgkJHa6g4,com.sec.android.app.shealth,c2f8bd07-d84c-4b54-8271-95ad67f1e8c8,1570320000000,
dca33f89-4666-46b2-93e6-8b3dbe6f4663.binning_data.json,2019-10-11 01:44:54.007,2019-10-10 09:59:48.665,com.sec.android.app.shealth,-2,10560,1.3792133,7760.42,449.82996,VfS0qUERdZ,com.sec.android.app.shealth,dca33f89-4666-46b2-93e6-8b3dbe6f4663,1570665600000,
9dc4d3a9-51d1-4e98-a461-683a127e7caf.binning_data.json,2019-10-12 02:55:02.366,2019-10-11 09:43:44.251,com.sec.android.app.shealth,-2,21559,1.3756424,16354.38,894.18994,VfS0qUERdZ,com.sec.android.app.shealth,9dc4d3a9-51d1-4e98-a461-683a127e7caf,1570752000000,
