com.samsung.shealth.tracker.pedometer_event,6233003,1
start_time,update_time,create_time,type,time_offset,deviceuuid,pkg_name,healthy_step,end_time,datauuid
2022-04-20 00:02:09.000,2022-04-20 00:14:06.000,2022-04-20 00:14:06.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,1098,2022-04-20 00:14:06.000,cd18f88e-fd88-7a00-bad7-fc1cfc7bb795,
2022-07-24 04:01:37.000,2022-07-24 04:21:04.000,2022-07-24 04:21:04.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,1549,2022-07-24 04:21:04.000,79de5fa1-7a0d-bc06-416d-b2c11ca5ac55,
2020-03-02 13:26:40.293,2020-03-02 13:28:52.194,2020-03-02 13:27:44.754,1,UTC+0000,yfgkJHa6g4,com.sec.android.app.shealth,94,2020-03-02 13:28:40.347,f9d4c3a8-fba4-40e8-a514-8851f929b031,
2022-05-07 16:04:46.000,2022-05-07 16:16:21.000,2022-05-07 16:16:21.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,865,2022-05-07 16:16:21.000,3439b0e3-ec0b-5de5-97d8-8dac75d69981,
2022-05-09 20:32:14.000,2022-05-09 20:44:09.000,2022-05-09 20:44:09.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,954,2022-05-09 20:44:09.000,afdc47c7-92e2-6a5d-36a8-36f7a2670dab,
2021-04-03 12:27:10.000,2021-04-03 13:00:10.000,2021-04-03 13:00:10.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,3297,2021-04-03 13:00:10.000,68492951-8e76-cd23-4944-0ad7fdd019f0,
2022-08-04 15:25:44.000,2022-08-04 15:50:21.000,2022-08-04 15:50:21.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,2169,2022-08-04 15:50:21.000,58e0e224-f82b-aeab-333f-4ec820fa072a,
2022-07-02 12:39:48.000,2022-07-02 12:50:03.000,2022-07-02 12:50:03.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,961,2022-07-02 12:50:03.000,4cf49c6c-6a7e-312f-fd9e-4a72c2bf69c0,
2022-11-30 22:58:50.000,2022-11-30 23:14:21.000,2022-11-30 23:14:21.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,1185,2022-11-30 23:14:21.000,28048f4d-28fb-9051-87cd-e19520f67e5a,
2019-11-06 18:11:55.879,2019-11-06 18:22:07.068,2019-11-06 18:21:56.927,1,UTC-0300,yfgkJHa6g4,com.sec.android.app.shealth,881,2019-11-06 18:22:05.957,6a374482-ecdf-4d45-8b42-b763851e4ca4,
2021-07-20 22:42:18.000,2021-07-20 22:57:38.000,2021-07-20 22:57:38.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,1349,2021-07-20 22:57:38.000,62e533d1-68a8-0890-017e-2f4b3f14ab5e,
2022-09-28 15:01:16.000,2022-09-28 15:21:09.000,2022-09-28 15:21:09.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,1825,2022-09-28 15:21:09.000,3f9684a2-2693-b462-5ace-6c112957d60b,
2022-08-11 22:00:15.000,2022-08-11 22:11:32.000,2022-08-11 22:11:32.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,1051,2022-08-11 22:11:32.000,a22671ad-eb81-9986-4309-f6e74de76ef9,
2021-12-15 19:32:11.000,2021-12-15 19:45:21.000,2021-12-15 19:45:21.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,1108,2021-12-15 19:45:21.000,722b77ea-2995-a8e4-970c-13e3e621b648,
2019-09-27 14:53:39.757,2019-09-27 15:06:14.957,2019-09-27 15:03:50.114,1,UTC-0300,yfgkJHa6g4,com.sec.android.app.shealth,1183,2019-09-27 15:06:14.393,7829cb80-bef0-4231-b988-643f9aa6a8c3,
2022-12-04 04:34:30.000,2022-12-04 04:48:13.000,2022-12-04 04:48:13.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,1134,2022-12-04 04:48:13.000,b0db9840-ed0c-64cd-5dec-e6c86f7d8e19,
